,Industry,Region,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Known Vulnerabilities,External Advisor,Risk
8657,FINANCIAL SERVICES,EUROPE,502073,29,19,5054627,4,YES,HIGH
8658,ECOMMERCE,SOUTH AMERICA,1188301,40,46,5065262,2,NO,LOW
8659,ECOMMERCE,AFRICA,845151,19,49,5069157,3,NO,LOW
8660,EDUCATION,NORTH AMERICA,53187,25,1,4957436,2,YES,MEDIUM
8661,AUTOMOTIVE,ASIA,889518,23,30,4983182,6,YES,MEDIUM
8662,FINANCIAL SERVICES,NORTH AMERICA,845050,14,34,5026542,7,YES,HIGH
8663,OTHER,SOUTH AMERICA,65126,21,21,4992881,2,NO,MEDIUM
8664,HEALTHCARE,EUROPE,819604,20,27,5122275,8,NO,MEDIUM
8665,OTHER,EUROPE,1072311,26,40,5063638,6,NO,LOW
8666,OTHER,NORTH AMERICA,1321067,7,19,5051630,1,YES,LOW
8667,ECOMMERCE,NORTH AMERICA,1091919,12,30,5018555,0,NO,LOW
8668,HEALTHCARE,SOUTH AMERICA,324915,8,17,5034120,3,YES,HIGH
8669,OTHER,ASIA,758042,45,12,5097582,3,YES,MEDIUM
8670,OTHER,NORTH AMERICA,524823,6,20,5001193,7,NO,LOW
8671,HEALTHCARE,SOUTH AMERICA,345535,34,38,4941367,0,NO,MEDIUM
8672,EDUCATION,NORTH AMERICA,386423,44,46,5081166,6,YES,HIGH
8673,EDUCATION,NORTH AMERICA,824302,28,35,4942620,7,YES,HIGH
8674,TELECOM,NORTH AMERICA,989051,36,7,5006561,0,NO,LOW
8675,FINANCIAL SERVICES,SOUTH AMERICA,834057,39,2,4900656,9,NO,HIGH
8676,HEALTHCARE,NORTH AMERICA,1508467,37,32,5060126,7,YES,HIGH
8677,TELECOM,AFRICA,1472732,34,45,5042447,2,NO,LOW
8678,EDUCATION,ASIA,614004,21,40,4953921,5,YES,MEDIUM
8679,FINANCIAL SERVICES,ASIA,1011290,10,17,4983535,1,YES,MEDIUM
8680,AUTOMOTIVE,ASIA,772150,30,11,5005915,2,NO,LOW
8681,EDUCATION,NORTH AMERICA,728811,11,10,5051963,2,NO,LOW
8682,TELECOM,EUROPE,1121132,33,23,5079184,0,NO,LOW
8683,EDUCATION,EUROPE,740962,30,17,5005050,4,NO,LOW
8684,HEALTHCARE,NORTH AMERICA,1113721,44,30,4959794,6,YES,HIGH
8685,TELECOM,ASIA,603017,8,2,5100390,5,NO,LOW
8686,HEALTHCARE,ASIA,445585,40,40,4922731,8,YES,HIGH
8687,HEALTHCARE,ASIA,1003887,16,16,4983515,0,YES,LOW
8688,ECOMMERCE,ASIA,247056,24,42,5045040,4,NO,LOW
8689,TELECOM,EUROPE,750246,48,21,5048897,0,NO,MEDIUM
8690,TELECOM,ASIA,910665,32,14,5017173,3,YES,MEDIUM
8691,OTHER,EUROPE,793858,2,32,4996283,7,YES,MEDIUM
8692,TELECOM,EUROPE,1210359,22,2,4989367,5,YES,MEDIUM
8693,TELECOM,AFRICA,1036367,46,47,4980262,2,NO,LOW
8694,ECOMMERCE,ASIA,488862,26,1,5000288,9,YES,HIGH
8695,OTHER,AFRICA,1358385,16,9,4956662,4,YES,LOW
8696,OTHER,SOUTH AMERICA,383067,40,35,4940185,0,YES,HIGH
8697,OTHER,ASIA,469982,37,24,5043204,5,YES,MEDIUM
8698,HEALTHCARE,ASIA,577207,25,20,4924744,9,YES,HIGH
8699,TELECOM,EUROPE,531222,25,7,4946586,7,NO,MEDIUM
8700,TELECOM,SOUTH AMERICA,1013126,23,32,4980872,8,NO,MEDIUM
8701,OTHER,ASIA,38535,30,46,5015645,0,NO,LOW
8702,AUTOMOTIVE,SOUTH AMERICA,1398506,23,9,4881023,1,YES,LOW
8703,AUTOMOTIVE,ASIA,1269378,3,3,4975236,9,NO,LOW
8704,AUTOMOTIVE,NORTH AMERICA,33437,4,42,4985411,2,NO,LOW
8705,FINANCIAL SERVICES,SOUTH AMERICA,1428591,47,10,5010661,0,NO,LOW
8706,ECOMMERCE,EUROPE,848867,3,36,5014598,3,NO,LOW
8707,ECOMMERCE,EUROPE,738093,35,8,5037790,0,YES,MEDIUM
8708,HEALTHCARE,NORTH AMERICA,1426705,10,2,4997113,5,NO,LOW
8709,ECOMMERCE,ASIA,1211895,11,49,5003451,8,NO,LOW
8710,EDUCATION,AFRICA,1027774,42,6,5078849,6,NO,LOW
8711,TELECOM,SOUTH AMERICA,368617,13,15,5056126,9,NO,MEDIUM
8712,AUTOMOTIVE,AFRICA,250631,37,37,5026838,9,NO,LOW
8713,HEALTHCARE,AFRICA,167587,11,21,4930173,3,YES,MEDIUM
8714,AUTOMOTIVE,ASIA,1035460,46,45,5014282,3,NO,LOW
8715,HEALTHCARE,EUROPE,65648,6,17,4945494,5,NO,MEDIUM
8716,HEALTHCARE,AFRICA,794287,36,11,5060819,9,NO,MEDIUM
8717,TELECOM,NORTH AMERICA,124326,27,10,5002722,0,YES,HIGH
8718,ECOMMERCE,SOUTH AMERICA,1109087,1,44,5011829,5,YES,MEDIUM
8719,FINANCIAL SERVICES,AFRICA,450425,36,6,5082071,7,NO,MEDIUM
8720,HEALTHCARE,SOUTH AMERICA,46089,35,42,4952834,6,NO,HIGH
8721,OTHER,NORTH AMERICA,188157,24,15,4996889,9,NO,MEDIUM
8722,EDUCATION,NORTH AMERICA,840029,9,23,4974973,1,NO,LOW
8723,AUTOMOTIVE,SOUTH AMERICA,1418445,15,10,4911334,4,YES,LOW
8724,TELECOM,EUROPE,1380702,21,14,5008586,6,NO,LOW
8725,TELECOM,NORTH AMERICA,487610,4,16,5044644,6,YES,HIGH
8726,OTHER,ASIA,506145,22,9,4984427,1,NO,LOW
8727,HEALTHCARE,ASIA,123766,41,49,4912190,7,YES,HIGH
8728,TELECOM,AFRICA,774204,28,25,5010482,0,NO,LOW
8729,ECOMMERCE,EUROPE,1309297,25,34,5038935,2,NO,LOW
8730,EDUCATION,EUROPE,108494,4,13,5017145,2,YES,MEDIUM
8731,OTHER,SOUTH AMERICA,225333,44,44,5025075,7,YES,HIGH
8732,HEALTHCARE,EUROPE,1436828,10,5,5021198,0,YES,LOW
8733,ECOMMERCE,NORTH AMERICA,632659,6,13,4997623,2,YES,MEDIUM
8734,TELECOM,AFRICA,748412,11,30,4996154,7,NO,LOW
8735,AUTOMOTIVE,EUROPE,782899,14,33,4955946,9,YES,MEDIUM
8736,ECOMMERCE,ASIA,1287235,11,30,4990128,9,YES,MEDIUM
8737,EDUCATION,EUROPE,1079636,29,28,4956083,6,NO,LOW
8738,OTHER,EUROPE,1125011,9,32,5073596,2,YES,LOW
8739,ECOMMERCE,SOUTH AMERICA,544200,37,34,5017099,4,YES,HIGH
8740,AUTOMOTIVE,ASIA,332021,10,47,5025066,5,NO,LOW
8741,ECOMMERCE,ASIA,203901,26,11,5044463,3,NO,LOW
8742,EDUCATION,EUROPE,325193,0,33,5036711,6,NO,LOW
8743,FINANCIAL SERVICES,ASIA,976406,40,29,4983601,0,YES,MEDIUM
8744,EDUCATION,EUROPE,667740,2,29,4959648,1,NO,LOW
8745,EDUCATION,EUROPE,1431801,37,22,5042648,4,YES,MEDIUM
8746,FINANCIAL SERVICES,ASIA,893892,39,3,5105004,1,YES,MEDIUM
8747,OTHER,SOUTH AMERICA,1505606,1,27,5063573,9,NO,LOW
8748,FINANCIAL SERVICES,SOUTH AMERICA,258559,27,20,4935274,9,NO,HIGH
8749,AUTOMOTIVE,AFRICA,872027,10,47,4932132,4,NO,LOW
8750,TELECOM,NORTH AMERICA,548801,48,3,5070350,7,YES,HIGH
8751,AUTOMOTIVE,AFRICA,643054,37,26,5104374,6,NO,LOW
8752,TELECOM,AFRICA,1327734,42,14,5026607,7,NO,LOW
8753,TELECOM,NORTH AMERICA,404550,28,46,4988040,4,NO,MEDIUM
8754,ECOMMERCE,NORTH AMERICA,1162463,12,39,5042238,0,YES,MEDIUM
8755,HEALTHCARE,EUROPE,583743,41,12,5023302,6,NO,MEDIUM
8756,ECOMMERCE,NORTH AMERICA,179550,32,13,4971705,1,NO,MEDIUM
8757,EDUCATION,NORTH AMERICA,1979,21,8,5041079,8,YES,HIGH
8758,EDUCATION,EUROPE,862481,29,13,4965303,9,NO,MEDIUM
8759,EDUCATION,AFRICA,974760,37,21,4888194,6,YES,MEDIUM
8760,FINANCIAL SERVICES,AFRICA,977906,4,9,5015965,2,YES,LOW
8761,EDUCATION,SOUTH AMERICA,518626,25,34,4983145,2,NO,LOW
8762,FINANCIAL SERVICES,AFRICA,1217547,35,41,5017684,7,NO,LOW
8763,OTHER,ASIA,1138589,17,29,5065704,2,NO,LOW
8764,OTHER,AFRICA,1155385,11,15,5009003,3,YES,LOW
8765,TELECOM,NORTH AMERICA,1680,14,34,5008728,5,YES,HIGH
8766,AUTOMOTIVE,AFRICA,949934,46,34,5049605,3,NO,LOW
8767,OTHER,EUROPE,1451314,46,12,4988764,4,YES,MEDIUM
8768,OTHER,AFRICA,459084,41,40,5074436,5,YES,MEDIUM
8769,FINANCIAL SERVICES,NORTH AMERICA,773905,32,20,5050854,6,YES,HIGH
8770,AUTOMOTIVE,NORTH AMERICA,342269,36,33,5012165,7,YES,HIGH
8771,TELECOM,NORTH AMERICA,96841,10,24,4854861,9,NO,MEDIUM
8772,FINANCIAL SERVICES,AFRICA,847321,43,2,5021307,8,NO,MEDIUM
8773,AUTOMOTIVE,NORTH AMERICA,1094492,35,35,5041259,2,YES,MEDIUM
8774,EDUCATION,SOUTH AMERICA,795341,42,5,5002704,5,NO,MEDIUM
8775,ECOMMERCE,AFRICA,23079,3,12,5003766,8,YES,MEDIUM
8776,EDUCATION,SOUTH AMERICA,1224436,30,36,4972873,4,NO,LOW
8777,FINANCIAL SERVICES,SOUTH AMERICA,209328,4,16,5012128,0,YES,MEDIUM
8778,ECOMMERCE,EUROPE,1468076,13,45,4981881,9,YES,MEDIUM
8779,ECOMMERCE,SOUTH AMERICA,957365,5,26,5013386,5,NO,LOW
8780,EDUCATION,AFRICA,902631,8,9,4949539,1,YES,LOW
8781,FINANCIAL SERVICES,NORTH AMERICA,230668,19,40,5039736,3,YES,HIGH
8782,OTHER,NORTH AMERICA,553538,41,6,5024900,9,YES,HIGH
8783,FINANCIAL SERVICES,SOUTH AMERICA,910228,15,38,5063505,4,YES,HIGH
8784,OTHER,EUROPE,143747,29,2,4998893,6,NO,MEDIUM
8785,AUTOMOTIVE,AFRICA,1005597,9,13,5002584,8,YES,LOW
8786,FINANCIAL SERVICES,EUROPE,414874,33,26,5000763,3,YES,HIGH
8787,EDUCATION,NORTH AMERICA,1401752,41,21,4958195,3,YES,MEDIUM
8788,ECOMMERCE,SOUTH AMERICA,667870,13,24,5022806,2,NO,LOW
8789,EDUCATION,SOUTH AMERICA,557553,27,49,5043834,2,NO,LOW
8790,TELECOM,AFRICA,1120587,2,24,5100515,6,YES,LOW
8791,FINANCIAL SERVICES,SOUTH AMERICA,296048,47,21,4917750,4,YES,HIGH
8792,EDUCATION,AFRICA,1292171,41,29,4989266,1,NO,LOW
8793,TELECOM,EUROPE,715722,45,37,5078361,6,YES,HIGH
8794,FINANCIAL SERVICES,NORTH AMERICA,1022423,28,32,5065841,7,YES,HIGH
8795,TELECOM,AFRICA,16034,45,34,4985316,0,YES,MEDIUM
8796,TELECOM,SOUTH AMERICA,1325237,19,45,5046281,8,YES,HIGH
8797,OTHER,NORTH AMERICA,353595,42,43,5033404,7,YES,HIGH
8798,ECOMMERCE,NORTH AMERICA,1125504,37,33,4990506,5,NO,MEDIUM
8799,AUTOMOTIVE,EUROPE,287614,28,34,5080775,5,YES,MEDIUM
8800,OTHER,NORTH AMERICA,1421498,22,21,4985547,8,YES,MEDIUM
8801,EDUCATION,ASIA,241329,41,24,5018218,2,NO,LOW
8802,OTHER,SOUTH AMERICA,1317458,47,23,5003960,3,YES,MEDIUM
8803,OTHER,AFRICA,179233,47,7,5066844,3,NO,LOW
8804,FINANCIAL SERVICES,ASIA,913387,5,40,5050444,5,NO,LOW
8805,EDUCATION,ASIA,744215,38,45,5001777,4,YES,MEDIUM
8806,TELECOM,ASIA,1311204,41,18,4965320,0,NO,LOW
8807,HEALTHCARE,ASIA,694695,31,27,5085120,9,YES,HIGH
8808,FINANCIAL SERVICES,ASIA,810828,46,34,5048822,7,YES,HIGH
8809,TELECOM,NORTH AMERICA,909952,4,44,5057666,9,NO,MEDIUM
8810,FINANCIAL SERVICES,EUROPE,135632,15,29,5070529,8,YES,HIGH
8811,HEALTHCARE,ASIA,1073275,14,28,4973588,1,NO,LOW
8812,ECOMMERCE,EUROPE,1106027,27,12,5015495,4,YES,MEDIUM
8813,AUTOMOTIVE,NORTH AMERICA,1366771,46,45,5036370,7,YES,MEDIUM
8814,HEALTHCARE,AFRICA,181512,1,42,5020116,4,NO,LOW
8815,EDUCATION,SOUTH AMERICA,90951,16,14,5050972,0,NO,LOW
8816,AUTOMOTIVE,AFRICA,698863,14,6,4977430,2,YES,LOW
8817,AUTOMOTIVE,EUROPE,579639,36,29,5035467,1,NO,LOW
8818,FINANCIAL SERVICES,NORTH AMERICA,1301026,41,11,5055896,9,YES,HIGH
8819,HEALTHCARE,EUROPE,399316,8,32,4979629,5,NO,LOW
8820,ECOMMERCE,SOUTH AMERICA,1021097,35,33,5013763,3,NO,LOW
8821,HEALTHCARE,AFRICA,79796,40,23,5012774,9,NO,MEDIUM
8822,OTHER,ASIA,318469,0,4,4950284,9,YES,MEDIUM
8823,ECOMMERCE,AFRICA,426555,8,44,4884240,6,NO,LOW
8824,OTHER,ASIA,1090920,31,39,4953876,4,YES,MEDIUM
8825,AUTOMOTIVE,ASIA,1069279,43,6,4981113,0,YES,LOW
8826,TELECOM,AFRICA,1155869,20,33,5043210,1,YES,LOW
8827,ECOMMERCE,AFRICA,1158851,5,28,5024905,2,YES,LOW
8828,HEALTHCARE,ASIA,1479733,45,3,4987612,2,YES,MEDIUM
8829,FINANCIAL SERVICES,AFRICA,1420500,0,31,5023406,4,NO,LOW
8830,AUTOMOTIVE,SOUTH AMERICA,1405724,12,25,5021787,8,YES,MEDIUM
8831,ECOMMERCE,NORTH AMERICA,490188,35,43,5029505,3,YES,HIGH
8832,TELECOM,SOUTH AMERICA,1128638,15,32,5081083,5,NO,LOW
8833,TELECOM,AFRICA,700440,38,30,5027323,6,YES,MEDIUM
8834,TELECOM,ASIA,1441468,14,26,4988566,3,YES,LOW
8835,TELECOM,NORTH AMERICA,1440147,15,4,5077501,9,NO,MEDIUM
8836,ECOMMERCE,NORTH AMERICA,89035,4,8,4948468,9,YES,HIGH
8837,ECOMMERCE,NORTH AMERICA,177149,32,5,5013048,0,YES,HIGH
8838,OTHER,SOUTH AMERICA,1291223,4,28,5051042,6,YES,MEDIUM
8839,FINANCIAL SERVICES,AFRICA,738025,1,49,5046892,3,YES,MEDIUM
8840,OTHER,AFRICA,51841,44,31,4898584,8,YES,HIGH
8841,HEALTHCARE,AFRICA,355276,20,29,4946841,1,NO,LOW
8842,ECOMMERCE,EUROPE,761282,38,27,4960941,9,NO,MEDIUM
8843,FINANCIAL SERVICES,EUROPE,1038482,32,23,4990504,3,NO,MEDIUM
8844,AUTOMOTIVE,NORTH AMERICA,399626,0,45,5014855,9,YES,MEDIUM
8845,AUTOMOTIVE,AFRICA,1290757,45,34,5050240,7,YES,MEDIUM
8846,FINANCIAL SERVICES,EUROPE,917673,33,45,4950753,0,NO,LOW
8847,EDUCATION,SOUTH AMERICA,1130815,13,2,4983765,7,NO,LOW
8848,FINANCIAL SERVICES,SOUTH AMERICA,1457064,48,47,5049822,5,NO,MEDIUM
8849,TELECOM,SOUTH AMERICA,1444490,2,18,4961315,4,NO,LOW
8850,FINANCIAL SERVICES,SOUTH AMERICA,1350996,23,28,4895458,5,NO,MEDIUM
8851,EDUCATION,NORTH AMERICA,921869,29,44,4952129,0,NO,LOW
8852,FINANCIAL SERVICES,AFRICA,1130338,22,42,4967495,4,NO,LOW
8853,TELECOM,ASIA,410700,6,1,5029494,7,NO,LOW
8854,ECOMMERCE,AFRICA,182297,21,43,4938020,9,NO,LOW
8855,OTHER,AFRICA,89489,29,20,4955105,2,YES,MEDIUM
8856,HEALTHCARE,NORTH AMERICA,98680,40,34,4956601,8,YES,HIGH
8857,HEALTHCARE,SOUTH AMERICA,69831,6,47,4961543,7,NO,MEDIUM
8858,OTHER,SOUTH AMERICA,1429873,40,11,4953389,4,YES,MEDIUM
8859,FINANCIAL SERVICES,AFRICA,524950,15,37,5035871,4,NO,LOW
8860,HEALTHCARE,ASIA,147151,25,1,5001544,2,NO,LOW
8861,ECOMMERCE,SOUTH AMERICA,1215629,42,44,4965951,9,YES,HIGH
8862,AUTOMOTIVE,SOUTH AMERICA,218819,40,14,5023851,7,YES,HIGH
8863,OTHER,ASIA,1332579,2,46,4994242,9,YES,MEDIUM
8864,OTHER,SOUTH AMERICA,1441437,9,22,4991249,4,NO,LOW
8865,FINANCIAL SERVICES,AFRICA,889273,45,38,4972951,3,YES,MEDIUM
8866,AUTOMOTIVE,AFRICA,380983,13,28,4952351,6,NO,LOW
8867,EDUCATION,ASIA,44352,1,43,5003503,8,YES,MEDIUM
8868,TELECOM,EUROPE,1388570,6,7,5021869,2,YES,LOW
8869,FINANCIAL SERVICES,AFRICA,286369,6,36,4955702,4,NO,LOW
8870,TELECOM,AFRICA,1462936,44,17,4942217,3,NO,LOW
8871,ECOMMERCE,EUROPE,893780,42,32,4967918,1,NO,LOW
8872,OTHER,NORTH AMERICA,1386160,24,47,5015461,4,NO,LOW
8873,HEALTHCARE,ASIA,22222,36,0,4972421,4,NO,MEDIUM
8874,ECOMMERCE,ASIA,1222397,2,25,4959091,1,YES,LOW
8875,HEALTHCARE,ASIA,641920,22,0,5021983,3,YES,MEDIUM
8876,OTHER,AFRICA,714145,2,16,5028225,3,YES,LOW
8877,OTHER,AFRICA,1355466,13,1,4988754,7,NO,LOW
8878,AUTOMOTIVE,AFRICA,614487,14,20,5037056,2,YES,LOW
8879,HEALTHCARE,EUROPE,483497,37,32,5009622,9,YES,HIGH
8880,ECOMMERCE,ASIA,614587,2,26,5027261,0,YES,LOW
8881,AUTOMOTIVE,AFRICA,1346913,3,29,4984921,4,YES,LOW
8882,ECOMMERCE,AFRICA,1155125,43,10,4918298,7,YES,MEDIUM
8883,AUTOMOTIVE,ASIA,645694,15,4,5034505,4,YES,LOW
8884,OTHER,EUROPE,940907,49,12,5004406,6,YES,HIGH
8885,HEALTHCARE,NORTH AMERICA,834981,35,2,5069279,2,NO,MEDIUM
8886,HEALTHCARE,ASIA,606494,29,31,4969759,6,NO,MEDIUM
8887,TELECOM,EUROPE,1006167,32,42,4970412,4,NO,LOW
8888,TELECOM,SOUTH AMERICA,404889,14,31,5025068,0,YES,MEDIUM
8889,TELECOM,AFRICA,739758,27,6,5006036,2,NO,LOW
8890,EDUCATION,SOUTH AMERICA,170029,47,11,4988731,2,YES,HIGH
8891,TELECOM,SOUTH AMERICA,655166,10,14,4977713,8,YES,HIGH
8892,HEALTHCARE,SOUTH AMERICA,801589,42,4,5047951,5,NO,MEDIUM
8893,HEALTHCARE,NORTH AMERICA,1123627,23,14,5001615,4,YES,MEDIUM
8894,TELECOM,EUROPE,1340650,44,37,4964705,3,NO,LOW
8895,ECOMMERCE,EUROPE,604885,9,18,4892940,0,YES,MEDIUM
8896,OTHER,NORTH AMERICA,1115341,2,37,5000746,4,YES,MEDIUM
8897,FINANCIAL SERVICES,EUROPE,386537,33,11,5014421,2,NO,MEDIUM
8898,FINANCIAL SERVICES,NORTH AMERICA,1260145,41,31,5008263,9,YES,HIGH
8899,OTHER,EUROPE,91597,2,43,4930817,2,YES,MEDIUM
8900,FINANCIAL SERVICES,AFRICA,1492726,9,15,4984923,4,NO,LOW
8901,TELECOM,ASIA,351513,30,29,4995412,5,YES,HIGH
8902,EDUCATION,SOUTH AMERICA,929782,14,47,4959847,8,YES,MEDIUM
8903,AUTOMOTIVE,NORTH AMERICA,238288,7,45,5042200,6,NO,LOW
8904,OTHER,ASIA,1354512,25,34,5053932,9,YES,MEDIUM
8905,FINANCIAL SERVICES,EUROPE,1439635,32,43,5034753,3,YES,MEDIUM
8906,HEALTHCARE,AFRICA,321890,2,33,5005268,9,YES,MEDIUM
8907,FINANCIAL SERVICES,AFRICA,383964,33,28,5065252,1,YES,MEDIUM
8908,TELECOM,AFRICA,1478766,28,0,5026266,2,YES,LOW
8909,OTHER,SOUTH AMERICA,731001,16,14,5002509,3,NO,LOW
8910,AUTOMOTIVE,ASIA,1373679,36,38,5082181,0,NO,LOW
8911,AUTOMOTIVE,NORTH AMERICA,1155807,8,20,5041130,8,NO,LOW
8912,FINANCIAL SERVICES,NORTH AMERICA,1176238,42,26,4955784,3,NO,MEDIUM
8913,EDUCATION,SOUTH AMERICA,1083007,47,16,4982208,1,YES,MEDIUM
8914,OTHER,NORTH AMERICA,1012555,34,6,4968792,0,YES,MEDIUM
8915,AUTOMOTIVE,AFRICA,330846,40,38,4959778,0,NO,LOW
8916,AUTOMOTIVE,AFRICA,870083,2,11,4968627,5,YES,LOW
8917,FINANCIAL SERVICES,ASIA,259053,36,26,4996991,3,YES,HIGH
8918,TELECOM,NORTH AMERICA,1483183,13,24,4964830,5,YES,MEDIUM
8919,EDUCATION,SOUTH AMERICA,210864,35,45,5025814,1,NO,LOW
8920,AUTOMOTIVE,AFRICA,23513,48,19,4991504,9,YES,HIGH
8921,AUTOMOTIVE,SOUTH AMERICA,1134359,49,30,4983331,4,NO,LOW
8922,TELECOM,ASIA,514914,9,16,5015293,2,YES,MEDIUM
8923,TELECOM,AFRICA,1415555,30,30,5033697,7,NO,LOW
8924,HEALTHCARE,EUROPE,1274814,44,29,4916050,8,YES,HIGH
8925,TELECOM,AFRICA,669221,45,28,5003753,8,NO,MEDIUM
8926,ECOMMERCE,AFRICA,1387578,46,44,5067431,6,YES,MEDIUM
8927,ECOMMERCE,EUROPE,944521,28,8,4944058,9,NO,MEDIUM
8928,EDUCATION,SOUTH AMERICA,1409196,48,5,4959666,0,YES,MEDIUM
8929,AUTOMOTIVE,SOUTH AMERICA,1259485,45,13,5024801,1,NO,LOW
8930,TELECOM,ASIA,447644,3,14,4972394,1,NO,LOW
8931,ECOMMERCE,ASIA,207620,44,39,4955479,7,YES,HIGH
8932,TELECOM,ASIA,759991,49,40,5038777,4,NO,MEDIUM
8933,HEALTHCARE,ASIA,1479370,28,17,4963813,2,NO,LOW
8934,HEALTHCARE,ASIA,813130,32,18,5044841,4,YES,MEDIUM
8935,OTHER,SOUTH AMERICA,1100700,18,25,4957659,8,NO,LOW
8936,FINANCIAL SERVICES,NORTH AMERICA,350420,3,3,5034558,7,YES,HIGH
8937,HEALTHCARE,NORTH AMERICA,1306296,36,49,5014584,5,NO,MEDIUM
8938,AUTOMOTIVE,NORTH AMERICA,1445325,36,22,4995172,7,YES,MEDIUM
8939,AUTOMOTIVE,ASIA,502960,20,28,4987128,3,YES,MEDIUM
8940,HEALTHCARE,AFRICA,401245,10,43,4962222,9,YES,MEDIUM
8941,EDUCATION,NORTH AMERICA,937225,25,16,5081164,8,YES,MEDIUM
8942,ECOMMERCE,NORTH AMERICA,1343477,37,39,5107969,7,NO,MEDIUM
8943,ECOMMERCE,SOUTH AMERICA,690512,37,10,5004788,9,YES,HIGH
8944,HEALTHCARE,NORTH AMERICA,1374390,28,31,5020634,7,YES,HIGH
8945,FINANCIAL SERVICES,AFRICA,1000778,14,23,5068775,7,YES,MEDIUM
8946,HEALTHCARE,NORTH AMERICA,1051464,6,27,5075506,5,NO,LOW
8947,ECOMMERCE,NORTH AMERICA,7685,1,48,5000026,2,YES,MEDIUM
8948,AUTOMOTIVE,NORTH AMERICA,225341,40,24,5072245,9,YES,HIGH
8949,ECOMMERCE,ASIA,1350573,22,23,5079797,5,YES,MEDIUM
8950,OTHER,EUROPE,552889,9,1,4988483,9,NO,MEDIUM
8951,FINANCIAL SERVICES,ASIA,1026274,11,17,5032628,0,NO,LOW
8952,OTHER,EUROPE,1234355,9,33,5032571,3,NO,LOW
8953,EDUCATION,NORTH AMERICA,652870,47,3,4959906,9,YES,HIGH
8954,FINANCIAL SERVICES,AFRICA,820116,13,5,5030844,0,YES,LOW
8955,HEALTHCARE,SOUTH AMERICA,750422,33,32,5005297,5,NO,MEDIUM
8956,TELECOM,EUROPE,1287220,46,7,5049746,1,NO,LOW
8957,ECOMMERCE,AFRICA,951502,33,34,5066655,9,YES,MEDIUM
8958,HEALTHCARE,AFRICA,1475459,25,14,4941965,7,NO,LOW
8959,FINANCIAL SERVICES,AFRICA,246412,38,38,4956720,9,NO,MEDIUM
8960,ECOMMERCE,SOUTH AMERICA,1271611,30,19,5013304,4,YES,MEDIUM
8961,OTHER,EUROPE,1215142,7,46,4967379,9,NO,LOW
8962,EDUCATION,NORTH AMERICA,1144472,22,47,4987339,7,YES,MEDIUM
8963,AUTOMOTIVE,AFRICA,328736,34,16,4893486,6,NO,LOW
8964,HEALTHCARE,AFRICA,448303,31,1,4988953,3,YES,MEDIUM
8965,TELECOM,SOUTH AMERICA,900534,23,0,4900343,7,YES,HIGH
8966,AUTOMOTIVE,SOUTH AMERICA,878016,1,10,4957022,4,YES,MEDIUM
8967,ECOMMERCE,NORTH AMERICA,1384803,41,16,5021620,6,NO,MEDIUM
8968,EDUCATION,SOUTH AMERICA,615578,6,38,4940143,1,YES,MEDIUM
8969,HEALTHCARE,AFRICA,668803,27,34,4918534,4,NO,LOW
8970,FINANCIAL SERVICES,EUROPE,1370276,0,4,4918182,3,YES,MEDIUM
8971,AUTOMOTIVE,ASIA,1240964,13,28,4932284,3,NO,LOW
8972,TELECOM,AFRICA,1130026,9,3,4926014,9,NO,LOW
8973,TELECOM,EUROPE,883984,39,11,5062414,0,YES,MEDIUM
8974,HEALTHCARE,ASIA,1410064,44,34,4930897,4,YES,MEDIUM
8975,ECOMMERCE,NORTH AMERICA,1147352,29,0,5018959,5,NO,LOW
8976,OTHER,SOUTH AMERICA,1483567,38,45,4989319,6,YES,MEDIUM
8977,ECOMMERCE,ASIA,1076822,45,5,4986795,4,YES,MEDIUM
8978,TELECOM,ASIA,264735,13,43,5043275,7,YES,HIGH
8979,HEALTHCARE,ASIA,458472,34,47,5034395,6,NO,MEDIUM
8980,OTHER,NORTH AMERICA,1406511,3,45,5008723,5,YES,MEDIUM
8981,TELECOM,NORTH AMERICA,494120,37,21,4996943,6,YES,HIGH
8982,TELECOM,AFRICA,869517,44,24,4943359,8,YES,HIGH
8983,HEALTHCARE,SOUTH AMERICA,481868,43,23,5092454,7,NO,HIGH
8984,FINANCIAL SERVICES,AFRICA,219383,47,48,5010794,7,NO,MEDIUM
8985,HEALTHCARE,SOUTH AMERICA,233102,24,26,4951782,3,YES,HIGH
8986,HEALTHCARE,NORTH AMERICA,511640,43,33,4974544,9,NO,HIGH
8987,OTHER,SOUTH AMERICA,1046789,44,18,4971116,8,YES,HIGH
8988,ECOMMERCE,ASIA,230886,12,40,5013976,0,YES,MEDIUM
8989,OTHER,ASIA,1439627,43,46,4915845,9,YES,MEDIUM
8990,FINANCIAL SERVICES,EUROPE,571221,33,45,5035472,9,YES,HIGH
8991,ECOMMERCE,ASIA,142776,14,27,5028344,4,YES,MEDIUM
8992,TELECOM,NORTH AMERICA,711527,23,31,5000813,9,NO,MEDIUM
8993,HEALTHCARE,AFRICA,857245,31,46,5035571,3,NO,LOW
8994,OTHER,SOUTH AMERICA,674383,29,16,4918859,4,YES,HIGH
8995,AUTOMOTIVE,NORTH AMERICA,1405848,37,17,4948866,5,NO,LOW
8996,HEALTHCARE,SOUTH AMERICA,348268,9,39,4985844,3,YES,HIGH
